"var","label","labels"
"eeb602y_a_4","第1段/第2段…同居的结束时间是 （年）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"eeb602m_a_4","第1段/第2段…同居的结束时间是 （月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"eeb602c_a_4","是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"eeb603y_a_4","对方出生日期（年）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"eeb603m_a_4","对方出生日期（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"eeb604_a_4","您与对方是如何认识的","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:在学校自己认识, 2:在工作场所自己认识, 3:在居住地自己认识, 4:在其他地方自己认识, 5:经亲戚介绍认识, 6:经朋友介绍认识, 7:经婚介介绍认识, 8:父母包办, 9:经过互联网认识的, 77:其他"
"eeb1","2018年调查时/2018年1月1日至今，您是否结过婚","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"eeb2","您与2018年调查/2018年1月1日时的同居伙伴是否结婚","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"eeb201y","你们的结婚日期是 （年）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"eeb201m","你们的结婚日期是（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"eb202_1","您的婚姻是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"eeb202y","您与EA200的婚姻持续到什么时候 （年）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"eeb202m","您与EA200的婚姻持续到什么时候（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"eeb202c","是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"eb203_1","同居是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"eeb203y","您与EA200的同居持续到什么时候 （年）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"eeb203m","您与EA200的同居持续到什么时候（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"eeb203c","是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"eeb301","您与对方分开的原因是","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:离婚, 5:丧偶"
"eeb302code","死亡原因",":"
"eeb4","您接下来是否结过婚","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"eeb5","是否有其他同居经历","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"eeb501","从上次调查至今，是否有其他同居经历","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"eeb6","有过几次同居经历","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qk9","有恋爱关系吗","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:没有数据, 1:有, 5:没有, 79:情况不适用"
"qka201","理想结婚年龄（岁）",":"
"qka205","未来两年生育意愿","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"qm9","嫁妆价值（元）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qm801","您对您当前的“婚姻/同居”生活有多满意","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qm802","您对对方在经济上为家庭做出的贡献有多满意","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"qm803","您对对方在家务上为家庭做出的贡献有多满意","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"marriagen","生成婚姻段数变量","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"cohabitn","生成同居段数变量","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"cmstart","2018年1月1日至今新开始且持续到当前的婚姻","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"firstenterehcy","首次进入EHC月份","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"firstenterehcm","首次进入EHC年份","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"ear1","2018地址确认","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear101_pre","上一期地址确认","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"ear101a","2018居住地址（省）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"ear101c_code","2018居住地址（县/市）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"ear102","2018地址是否为当前主要的居住地址","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear103","2018调查至今是否离开过主要居住地址","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear104y","最早搬离2018居住地址时间（年）",":"
"ear104m","最早搬离2018居住地址时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear105y","最近入住2018居住地址时间（年）",":"
"ear105m","最近入住2018居住地址时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear2","当前主要地址确认","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear201_pre","当前主要的居住地址确认","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"ear201a","当前主要居住地址（省）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"ear201c_code","当前主要居住地址（县/市）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"ear202y","当前主要居住地址最近入住时间（年）",":"
"ear202m","当前主要居住地址最近入住时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear4","其他居住地址数（处）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"ear5a_a_1","其他地址1（省）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 11:北京市, 12:天津市, 13:河北省, 14:山西省, 15:内蒙古自治区, 21:辽宁省, 22:吉林省, 23:黑龙江省, 31:上海市, 32:江苏省, 33:浙江省, 34:安徽省, 35:福建省, 36:江西省, 37:山东省, 41:河南省, 42:湖北省, 43:湖南省, 44:广东省, 45:广西壮族自治区, 46:海南省, 50:重庆市, 51:四川省, 52:贵州省, 53:云南省, 54:西藏自治区, 61:陕西省, 62:甘肃省, 63:青海省, 64:宁夏回族自治区, 65:新疆维吾尔自治区, 99:数据缺失"
"ear5c_a_1_code","其他地址1（县/市）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"ear601_a_1","在其他地址A居住的其他时段1","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear6sy_a_1","其他地址A第1段居住起始时间（年）",":"
"ear6sm_a_1","其他地址A第1段居住起始时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fy_a_1","其他地址A第1段居住结束时间（年）",":"
"ear6fm_a_1","其他地址A第1段居住结束时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fc_a_1","其他地址A第1段居住是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear601_a_2","在其他地址A居住的其他时段2","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear6sy_a_2","其他地址A第2段居住起始时间（年）",":"
"ear6sm_a_2","其他地址A第2段居住起始时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fy_a_2","其他地址A第2段居住结束时间（年）",":"
"ear6fm_a_2","其他地址A第2段居住结束时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fc_a_2","其他地址A第2段居住是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear601_a_3","在其他地址A居住的其他时段3","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear6sy_a_3","其他地址A第3段居住起始时间（年）",":"
"ear6sm_a_3","其他地址A第3段居住起始时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fy_a_3","其他地址A第3段居住结束时间（年）",":"
"ear6fm_a_3","其他地址A第3段居住结束时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fc_a_3","其他地址A第3段居住是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear601_a_4","在其他地址A居住的其他时段4","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear6sy_a_4","其他地址A第4段居住起始时间（年）",":"
"ear6sm_a_4","其他地址A第4段居住起始时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fy_a_4","其他地址A第4段居住结束时间（年）",":"
"ear6fm_a_4","其他地址A第4段居住结束时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fc_a_4","其他地址A第4段居住是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear601_a_5","在其他地址A居住的其他时段5","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear6sy_a_5","其他地址A第5段居住起始时间（年）",":"
"ear6sm_a_5","其他地址A第5段居住起始时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fy_a_5","其他地址A第5段居住结束时间（年）",":"
"ear6fm_a_5","其他地址A第5段居住结束时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fc_a_5","其他地址A第5段居住是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear601_a_6","在其他地址A居住的其他时段6","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear6sy_a_6","其他地址A第6段居住起始时间（年）",":"
"ear6sm_a_6","其他地址A第6段居住起始时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fy_a_6","其他地址A第6段居住结束时间（年）",":"
"ear6fm_a_6","其他地址A第6段居住结束时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fc_a_6","其他地址A第6段居住是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear601_a_7","在其他地址A居住的其他时段7","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear6sy_a_7","其他地址A第7段居住起始时间（年）",":"
"ear6sm_a_7","其他地址A第7段居住起始时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fy_a_7","其他地址A第7段居住结束时间（年）",":"
"ear6fm_a_7","其他地址A第7段居住结束时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fc_a_7","其他地址A第7段居住是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear5a_a_2","其他地址2（省）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 11:北京市, 12:天津市, 13:河北省, 14:山西省, 15:内蒙古自治区, 21:辽宁省, 22:吉林省, 23:黑龙江省, 31:上海市, 32:江苏省, 33:浙江省, 34:安徽省, 35:福建省, 36:江西省, 37:山东省, 41:河南省, 42:湖北省, 43:湖南省, 44:广东省, 45:广西壮族自治区, 46:海南省, 50:重庆市, 51:四川省, 52:贵州省, 53:云南省, 54:西藏自治区, 61:陕西省, 62:甘肃省, 63:青海省, 64:宁夏回族自治区, 65:新疆维吾尔自治区, 99:数据缺失"
"ear5c_a_2_code","其他地址2（县/市）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"ear601_a_9","在其他地址B居住的其他时段1","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear6sy_a_9","其他地址B第1段居住起始时间（年）",":"
"ear6sm_a_9","其他地址B第1段居住起始时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fy_a_9","其他地址B第1段居住结束时间（年）",":"
"ear6fm_a_9","其他地址B第1段居住结束时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fc_a_9","其他地址B第1段居住是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear601_a_10","在其他地址B居住的其他时段2","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear6sy_a_10","其他地址B第2段居住起始时间（年）",":"
"ear6sm_a_10","其他地址B第2段居住起始时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fy_a_10","其他地址B第2段居住结束时间（年）",":"
"ear6fm_a_10","其他地址B第2段居住结束时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fc_a_10","其他地址B第2段居住是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear601_a_11","在其他地址B居住的其他时段3","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear6sy_a_11","其他地址B第3段居住起始时间（年）",":"
"ear6sm_a_11","其他地址B第3段居住起始时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fy_a_11","其他地址B第3段居住结束时间（年）",":"
"ear6fm_a_11","其他地址B第3段居住结束时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fc_a_11","其他地址B第3段居住是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear601_a_12","在其他地址B居住的其他时段4","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear6sy_a_12","其他地址B第4段居住起始时间（年）",":"
"ear6sm_a_12","其他地址B第4段居住起始时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fy_a_12","其他地址B第4段居住结束时间（年）",":"
"ear6fm_a_12","其他地址B第4段居住结束时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fc_a_12","其他地址B第4段居住是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear601_a_13","在其他地址B居住的其他时段5","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear6sy_a_13","其他地址B第5段居住起始时间（年）",":"
"ear6sm_a_13","其他地址B第5段居住起始时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fy_a_13","其他地址B第5段居住结束时间（年）",":"
"ear6fm_a_13","其他地址B第5段居住结束时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fc_a_13","其他地址B第5段居住是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear601_a_14","在其他地址B居住的其他时段6","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear6sy_a_14","其他地址B第6段居住起始时间（年）",":"
"ear6sm_a_14","其他地址B第6段居住起始时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fy_a_14","其他地址B第6段居住结束时间（年）",":"
"ear6fm_a_14","其他地址B第6段居住结束时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fc_a_14","其他地址B第6段居住是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear601_a_15","在其他地址B居住的其他时段7","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear6sy_a_15","其他地址B第7段居住起始时间（年）",":"
"ear6sm_a_15","其他地址B第7段居住起始时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fy_a_15","其他地址B第7段居住结束时间（年）",":"
"ear6fm_a_15","其他地址B第7段居住结束时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fc_a_15","其他地址B第7段居住是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear5a_a_3","其他地址3（省）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 11:北京市, 12:天津市, 13:河北省, 14:山西省, 15:内蒙古自治区, 21:辽宁省, 22:吉林省, 23:黑龙江省, 31:上海市, 32:江苏省, 33:浙江省, 34:安徽省, 35:福建省, 36:江西省, 37:山东省, 41:河南省, 42:湖北省, 43:湖南省, 44:广东省, 45:广西壮族自治区, 46:海南省, 50:重庆市, 51:四川省, 52:贵州省, 53:云南省, 54:西藏自治区, 61:陕西省, 62:甘肃省, 63:青海省, 64:宁夏回族自治区, 65:新疆维吾尔自治区, 99:数据缺失"
"ear5c_a_3_code","其他地址3（县/市）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"ear601_a_17","在其他地址C居住的其他时段1","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear6sy_a_17","其他地址C第1段居住起始时间（年）",":"
"ear6sm_a_17","其他地址C第1段居住起始时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fy_a_17","其他地址C第1段居住结束时间（年）",":"
"ear6fm_a_17","其他地址C第1段居住结束时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fc_a_17","其他地址C第1段居住是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear601_a_18","在其他地址C居住的其他时段2","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear6sy_a_18","其他地址C第2段居住起始时间（年）",":"
"ear6sm_a_18","其他地址C第2段居住起始时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fy_a_18","其他地址C第2段居住结束时间（年）",":"
"ear6fm_a_18","其他地址C第2段居住结束时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fc_a_18","其他地址C第2段居住是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear601_a_19","在其他地址C居住的其他时段3","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear6sy_a_19","其他地址C第3段居住起始时间（年）",":"
"ear6sm_a_19","其他地址C第3段居住起始时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fy_a_19","其他地址C第3段居住结束时间（年）",":"
"ear6fm_a_19","其他地址C第3段居住结束时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fc_a_19","其他地址C第3段居住是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear5a_a_4","其他地址4（省）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 11:北京市, 12:天津市, 13:河北省, 14:山西省, 15:内蒙古自治区, 21:辽宁省, 22:吉林省, 23:黑龙江省, 31:上海市, 32:江苏省, 33:浙江省, 34:安徽省, 35:福建省, 36:江西省, 37:山东省, 41:河南省, 42:湖北省, 43:湖南省, 44:广东省, 45:广西壮族自治区, 46:海南省, 50:重庆市, 51:四川省, 52:贵州省, 53:云南省, 54:西藏自治区, 61:陕西省, 62:甘肃省, 63:青海省, 64:宁夏回族自治区, 65:新疆维吾尔自治区, 99:数据缺失"
"ear5c_a_4_code","其他地址4（县/市）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"ear601_a_25","在其他地址D居住的其他时段1","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear6sy_a_25","其他地址D第1段居住起始时间（年）",":"
"ear6sm_a_25","其他地址D第1段居住起始时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fy_a_25","其他地址D第1段居住结束时间（年）",":"
"ear6fm_a_25","其他地址D第1段居住结束时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fc_a_25","其他地址D第1段居住是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear601_a_26","在其他地址D居住的其他时段2","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear6sy_a_26","其他地址D第2段居住起始时间（年）",":"
"ear6sm_a_26","其他地址D第2段居住起始时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fy_a_26","其他地址D第2段居住结束时间（年）",":"
"ear6fm_a_26","其他地址D第2段居住结束时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fc_a_26","其他地址D第2段居住是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear5a_a_5","其他地址5（省）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 11:北京市, 12:天津市, 13:河北省, 14:山西省, 15:内蒙古自治区, 21:辽宁省, 22:吉林省, 23:黑龙江省, 31:上海市, 32:江苏省, 33:浙江省, 34:安徽省, 35:福建省, 36:江西省, 37:山东省, 41:河南省, 42:湖北省, 43:湖南省, 44:广东省, 45:广西壮族自治区, 46:海南省, 50:重庆市, 51:四川省, 52:贵州省, 53:云南省, 54:西藏自治区, 61:陕西省, 62:甘肃省, 63:青海省, 64:宁夏回族自治区, 65:新疆维吾尔自治区, 99:数据缺失"
"ear5c_a_5_code","其他地址5（县/市）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"ear601_a_33","在其他地址E居住的其他时段1","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ear6sy_a_33","其他地址E第1段居住起始时间（年）",":"
"ear6sm_a_33","其他地址E第1段居住起始时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fy_a_33","其他地址E第1段居住结束时间（年）",":"
"ear6fm_a_33","其他地址E第1段居住结束时间（月）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 13:春, 14:夏, 15:秋, 16:冬"
"ear6fc_a_33","其他地址E第1段居住是否持续到当前","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
